Key,Delta Time (ms)
T,0
h,203.386962890625
h,1187.263427734375
i,109.49462890625
s,123.24609375
w,219.3935546875
a,74.790771484375
s,98.518310546875
e,205.089111328125
n,123.672119140625
p,248.688232421875
o,578.263427734375
u,327.54052734375
g,182.15869140625
h,69.144287109375
t,294.289306640625
o,62.055908203125
m,265.131103515625
a,109.049560546875
k,71.6796875
e,95.28173828125
J,504.380615234375
e,187.42138671875
m,93.068603515625
m,464.1787109375
a,77.9951171875
r,77.026123046875
c,172.807373046875
h,61.4169921875
t,267.9111328125
o,127.30908203125
t,233.098388671875
h,111.20166015625
e,140.965087890625
c,403.212890625
o,63.37939453125
r,128.171630859375
n,76.828857421875
e,77.925537109375
r,78.684814453125
",",107.6259765625
w,297.158203125
h,109.154052734375
e,79.364501953125
r,80.04931640625
e,91.656982421875
h,373.1474609375
e,139.9609375
s,187.1767578125
t,155.032470703125
o,32.279541015625
p,188.737548828125
p,124.95751953125
e,48.962646484375
d,109.26123046875
a,186.947509765625
n,91.609619140625
d,49.536865234375
l,296.295654296875
a,79.7216796875
e,469.900634765625
a,63.59814453125
n,393.442138671875
e,108.83447265625
d,124.5390625
a,171.6337890625
g,109.645263671875
a,80.983154296875
i,19.106689453125
n,153.18212890625
s,126.47021484375
t,126.22412109375
t,199.59326171875
h,80.98974609375
e,110.15283203125
l,183.76611328125
i,188.13525390625
g,93.999267578125
h,60.874755859375
t,111.455810546875
-,109.292724609375
p,237.98095703125
o,195.566650390625
l,202.33203125
e,157.493408203125
",",92.77490234375
w,436.001220703125
a,125.55419921875
t,264.90380859375
c,155.74072265625
h,76.849365234375
i,172.9609375
n,125.792724609375
g,72.72314453125
t,175.145263671875
h,63.264404296875
e,108.07080078125
g,266.145263671875
a,218.392578125
t,124.26416015625
e,76.21923828125
h,280.992431640625
a,105.481201171875
n,51.1044921875
g,142.396484375
i,47.98681640625
n,124.56640625
g,125.35546875
c,188.259521484375
r,187.651123046875
a,135.256591796875
z,177.114013671875
i,101.124755859375
l,212.95458984375
y,140.614013671875
o,295.057861328125
n,109.786376953125
i,278.2421875
t,124.172607421875
s,152.391357421875
h,263.48876953125
o,89.5068359375
m,147.874267578125
e,63.528564453125
0,437.279541015625
-,529.8740234375
m,219.19140625
a,126.530517578125
d,55.905029296875
e,84.756103515625
h,283.762939453125
i,33.033203125
n,154.288330078125
g,298.32275390625
e,93.1923828125
.,126.256591796875
Y,0
e,208.509521484375
s,160.287841796875
",",160.9033203125
t,458.74365234375
h,71.999755859375
e,133.006591796875
y,71.913818359375
t,276.498779296875
h,69.706787109375
i,189.132568359375
n,132.645751953125
k,318.78662109375
w,382.08056640625
e,156.95263671875
',144.758056640625
r,152.392333984375
e,65.88525390625
d,241.12646484375
u,61.743896484375
m,188.7568359375
b,154.98681640625
.,108.88720703125
t,264.1103515625
T,570.2080078125
h,135.38720703125
e,125.229736328125
y,65.24462890625
c,195.71484375
a,104.744384765625
l,75.396484375
l,128.73828125
u,284.436767578125
s,63.754638671875
t,176.359130859375
h,121.544189453125
e,63.998779296875
c,204.548095703125
o,64.0634765625
m,157.295654296875
m,129.1533203125
o,128.814208984375
n,112.57470703125
p,308.17626953125
e,92.19970703125
o,63.831298828125
p,147.00341796875
l,121.125
e,160.41552734375
.,77.002685546875
B,446.434326171875
u,184.760986328125
t,148.588134765625
I,323.654052734375
',192.5966796875
v,232.395263671875
e,204.259765625
b,248.70703125
e,104.724609375
e,155.8017578125
n,92.47998046875
s,210.6669921875
e,173.045166015625
i,517.50634765625
t,108.423828125
t,143.819580078125
i,49.0712890625
n,157.09130859375
g,144.38330078125
h,188.727294921875
e,32.203125
r,80.619140625
e,561.344482421875
l,331.736572265625
i,184.381591796875
s,32.034912109375
t,104.2412109375
e,76.533203125
n,64.305419921875
i,160.024169921875
n,112.1025390625
g,184.203857421875
a,248.38671875
n,63.658935546875
d,95.93017578125
l,220.213134765625
o,173.523681640625
o,152.267822265625
k,108.157470703125
i,168.50537109375
n,108.277587890625
g,152.492919921875
a,188.534423828125
n,80.6533203125
d,112.281982421875
t,236.623046875
r,32.047119140625
y,140.38427734375
i,44.210205078125
n,116.4609375
v,100.191650390625
g,493.95703125
g,635.2197265625
t,424.62841796875
o,53.719482421875
u,336.099609375
n,140.375
d,116.482421875
e,151.9541015625
r,88.241455078125
s,156.036376953125
t,104.138916015625
a,108.47998046875
n,99.95361328125
d,120.518798828125
w,225.346435546875
h,120.953125
a,128.234375
t,116.57666015625
',120.141357421875
s,202.726318359375
s,244.80126953125
o,92.11328125
c,216.4423828125
o,84.3427734375
m,168.7109375
m,127.98974609375
o,140.211669921875
n,112.146728515625
a,216.199462890625
o,132.256103515625
b,3.5234375
u,224.173828125
b,873.099365234375
o,43.552001953125
u,187.986572265625
t,104.330810546875
u,201.0380859375
s,96.003173828125
.,124.10302734375
