Key,Delta Time (ms)
T,0
h,480.154052734375
e,110.6142578125
y,62.480224609375
s,202.47900390625
a,140.850341796875
y,62.251708984375
r,483.739013671875
t,744.540283203125
h,78.346435546875
a,108.362548828125
t,46.246826171875
r,186.12744140625
i,77.64208984375
g,124.729736328125
h,109.602783203125
t,61.919189453125
a,200.69287109375
f,77.8134765625
t,187.310791015625
e,123.3115234375
r,63.00732421875
G,356.237548828125
o,172.2099609375
d,94.201416015625
c,325.510986328125
r,156.842529296875
e,86.092529296875
a,53.09375
t,93.48974609375
e,61.70703125
d,154.87548828125
m,278.948486328125
a,87.78125
n,131.737060546875
",",201.849609375
h,326.67529296875
e,106.947021484375
t,203.409423828125
o,108.983642578125
o,153.75830078125
k,139.76953125
a,267.387451171875
r,186.11474609375
i,375.469482421875
b,140.680419921875
f,230.085205078125
r,123.87158203125
o,31.388427734375
m,156.626708984375
h,233.66064453125
i,77.2119140625
m,141.19677734375
a,264.494140625
n,93.880615234375
d,94.1953125
m,218.27099609375
a,47.85498046875
d,92.631591796875
e,61.862060546875
a,217.982666015625
c,232.388427734375
h,91.75927734375
i,169.401123046875
c,94.072021484375
k,108.542724609375
.,218.669677734375
T,466.03466796875
h,155.83935546875
a,142.510986328125
t,77.41650390625
',280.92138671875
s,154.622314453125
a,450.319091796875
c,201.57080078125
t,156.785400390625
u,75.734375
a,110.21533203125
l,121.421875
l,108.416259765625
y,77.83203125
a,265.310791015625
b,266.00390625
i,114.522705078125
t,101.963623046875
o,233.921142578125
f,47.396484375
c,219.863037109375
r,170.182373046875
e,109.0322265625
a,46.498046875
t,93.8408203125
a,944.960205078125
c,281.82861328125
r,187.01025390625
e,77.82763671875
a,77.61328125
t,79.0068359375
i,53.21142578125
o,195.822265625
n,122.783203125
m,372.480224609375
y,108.47802734375
t,217.697021484375
h,374.56689453125
-,562.3564453125
t,419.56982421875
h,93.5791015625
e,108.052001953125
t,545.772705078125
h,248.1767578125
r,200.827392578125
r,496.141357421875
u,138.57861328125
s,109.6845703125
t,108.952392578125
h,824.708984375
t,557.92333984375
h,77.24560546875
i,319.390380859375
s,130.704833984375
",",187.130126953125
a,262.891357421875
f,77.468017578125
t,172.693115234375
e,122.72900390625
r,79.509521484375
g,280.368896484375
o,92.444580078125
G,606.2470703125
o,154.485107421875
d,107.9765625
s,248.422119140625
a,157.6337890625
w,77.52978515625
t,185.476318359375
h,155.234375
a,62.83544921875
t,124.3818359375
m,183.887451171875
a,98.588134765625
n,91.12158203125
w,215.125732421875
a,61.646728515625
s,108.986083984375
g,217.850341796875
o,63.749267578125
o,153.881103515625
d,93.06689453125
",",109.451904296875
h,340.5791015625
e,92.879150390625
c,213.8232421875
r,176.12646484375
e,109.318603515625
a,79.036376953125
t,76.73876953125
e,53.38427734375
d,167.572265625
a,202.576416015625
n,60.691162109375
o,156.197021484375
t,77.512939453125
h,110.8916015625
e,64.519775390625
r,61.858154296875
m,201.651611328125
a,103.700439453125
n,97.641357421875
a,265.28271484375
n,116.3720703125
d,84.7001953125
s,213.21044921875
a,131.077392578125
w,78.99169921875
t,247.444580078125
h,109.538818359375
a,61.789794921875
t,60.74462890625
i,325.830810546875
t,189.512939453125
w,246.1298828125
a,61.79638671875
s,126.51220703125
l,45.5986328125
s,1033.935791015625
a,234.53466796875
l,107.696044921875
l,139.409912109375
g,232.250732421875
o,62.725830078125
o,125.19580078125
d,120.82373046875
.,101.1298828125
T,0
h,179.137939453125
e,148.851806640625
r,108.8798828125
e,111.107421875
i,262.735595703125
s,91.18798828125
n,204.124267578125
e,122.00830078125
i,61.434814453125
t,173.94189453125
h,61.468505859375
e,108.9521484375
r,79.138671875
h,450.0888671875
a,188.955810546875
p,30.4775390625
p,152.660888671875
y,204.540283203125
i,450.406982421875
n,169.011962890625
e,94.3564453125
s,155.400390625
s,124.200439453125
n,217.252197265625
o,186.857177734375
r,92.720703125
u,281.52783203125
n,322.215087890625
h,201.28271484375
a,154.580810546875
p,76.76123046875
p,140.92041015625
i,169.35986328125
n,171.036865234375
e,107.52001953125
s,141.733154296875
s,124.206787109375
i,218.431396484375
n,124.387451171875
t,286.37451171875
h,70.93359375
i,155.988525390625
s,90.216796875
w,177.485107421875
o,109.429931640625
r,125.084228515625
l,106.627197265625
d,140.384033203125
;,108.78173828125
t,355.7607421875
h,78.193603515625
e,67.415283203125
r,89.075439453125
e,77.297119140625
