Key,Delta Time (ms)
o,479.3537598
u,218.5803223
n,709.4040527
e,230.3510742
v,180.4445801
e,235.5039063
r,256.6472168
Y,4173.981445
o,346.6428223
u,239.6069336
n,980.0014648
r,234.9836426
v,745.4787598
r,232.5073242
e,1928.720215
v,188.9970703
e,217.5524902
r,522.7822266
s,621.7060547
l,675.8032227
e,350.7514648
e,321.0766602
p,237.6601563
t,849.1796875
a,265.0407715
l,326.1394043
k,236.8693848
i,1355.288086
n,561.3837891
E,704.0969238
n,824.1787109
g,296.6577148
l,124.6220703
i,218.3679199
s,828.402832
h,187.7260742
",",1856.594727
=,1584.454834
",",2851.739502
y,565.1044922
o,172.7817383
u,152.1027832
d,1925.050537
r,220.4343262
e,216.3161621
a,248.6296387
m,156.9885254
i,929.1594238
n,194.934082
a,403.7683105
l,400.9643555
a,172.4594727
n,121.407959
g,357.9746094
u,256.6181641
a,105.7885742
g,209.0419922
e,124.4501953
I,1742.18042
c,1063.687256
a,519.8588867
n,243.8535156
',1592.223145
t,172.6027832
u,1380.001953
n,237.1169434
d,288.4355469
e,188.657959
r,200.9560547
s,269.0268555
t,152.8525391
a,214.9360352
n,171.9157715
d,201.9389648
.,1563.761475
.,2856.631348
I,1702.411621
t,593.2089844
',887.645752
s,274.5471191
l,1386.964111
i,193.3078613
k,190.6540527
e,162.5429688
t,1028.491455
h,192.8674316
e,116.6203613
r,213.659668
e,239.4104004
s,212.7138672
e,3529.690186
',546.5161133
s,172.4428711
t,3447.180176
h,176.2861328
i,236.3757324
s,221.4550781
w,788.4089355
h,316.5371094
o,252.8449707
l,205.3664551
e,177.6611328
p,649.9851074
l,221.7722168
a,457.9421387
c,709.4667969
e,152.0258789
i,961.9909668
n,196.6708984
s,145.0817871
i,191.7927246
d,104.482666
e,218.2404785
o,1105.426514
f,361.4521484
y,369.6445313
o,120.8122559
u,183.8615723
w,413.2785645
h,637.0229492
e,290.6367188
r,252.4050293
e,200.8896484
I,781.5541992
c,572.909668
a,596.9077148
n,206.0615234
',731.8051758
t,176.8730469
g,801.6005859
o,245.5236816
.,1150.843994
