Key,Delta Time (ms)
s,0
t,681.3510742
s,263.3513184
b,251.4685059
a,1204.588623
s,184.3686523
o,105.8925781
r,144.3608398
r,136.1430664
y,152.090332
r,0
r,358.184082
y,185.3076172
g,1559.319824
i,15.99926758
s,64.28149414
d,51.92749023
f,25.10717773
u,67.99584961
g,4.017333984
s,100.5107422
d,20.01171875
f,12.0690918
g,47.95849609
\,0
t,0
a,228.7817383
b,265.1484375
a,246.8518066
s,203.6130371
o,124.4335938
r,156.1450195
r,155.1225586
y,93.73803711
h,280.1733398
e,78.38061523
a,182.0446777
r,92.38354492
t,217.1535645
w,168.8464355
i,47.99438477
t,124.300293
h,47.50976563
y,248.677002
o,32.7355957
u,147.6416016
r,60.76513672
f,164.467041
a,112.2680664
v,145.3681641
o,172.4528809
r,56.82324219
i,100.7587891
t,80.66503906
e,100.1662598
f,485.2338867
i,88.72753906
n,132.4448242
g,23.87792969
e,141.7907715
r,47.87109375
.,173.0371094
p,339.0078125
s,257.9216309
i,64.02880859
n,128.1022949
t,79.91235352
t,273.4487305
h,123.5957031
e,145.7741699
w,1398.966309
h,55.95654297
o,196.5751953
l,168.3256836
e,116.4650879
p,0
a,248.5551758
i,59.64819336
n,160.5800781
t,365.5444336
t,282.1662598
h,47.84716797
e,128.0869141
w,487.1489258
h,63.82592773
o,196.2380371
l,124.2294922
e,80.98828125
w,546.1992188
o,144.6804199
r,116.6931152
l,92.47802734
d,217.0668945
b,445.5708008
l,329.864502
u,172.8554688
e,79.53344727
a,405.3632813
n,61.61865234
d,128.5671387
s,161.0437012
t,156.4638672
o,32.29907227
p,80.15673828
y,567.1486816
o,68.39477539
u,196.8740234
r,63.99511719
t,480.9318848
e,304.8679199
a,140.5397949
r,91.55004883
s,176.5693359
f,282.9345703
r,152.8579102
o,4.483642578
m,188.5014648
s,144.1940918
t,153.4477539
i,75.13452148
n,152.2683105
g,75.76367188
i,59.91088867
n,64.33569336
h,396.3215332
.,172.3850098
g,1119.85791
.,168.3244629
h,751.9389648
e,284.6303711
a,96.50463867
r,333.2849121
t,318.1484375
h,80.23022461
e,78.52099609
c,262.4106445
a,387.2780762
v,146.8339844
e,88.70874023
m,233.1318359
e,78.70117188
n,91.62524414
s,125.1914063
n,1435.935547
s,310.0949707
i,109.7746582
g,123.2385254
n,46.80395508
i,125.3452148
n,74.30639648
g,92.96655273
.,342.0795898
n,0
g,253.0646973
i,94.92211914
n,140.776123
g,170.3811035
.,156.6105957
g,656.8161621
o,201.041748
o,140.7387695
d,93.7890625
n,187.7988281
e,60.37866211
w,78.0246582
s,201.0910645
t,356.9233398
h,80.51318359
e,74.55957031
r,93.93579102
y,1073.316162
',337.7258301
r,64.16430664
e,95.13696289
b,609.4929199
r,96.59350586
i,135.3383789
n,35.96972656
g,137.3640137
i,92.65429688
n,50.02612305
g,123.7565918
.,422.7563477
s,715.3449707
e,309.831543
v,217.5231934
e,108.8239746
n,278.527832
s,244.7976074
e,82.44042969
a,118.6499023
s,534.097168
",",137.2543945
s,284.7250977
w,188.7092285
i,129.4516602
m,176.4943848
m,112.8352051
i,193.9372559
n,104.576416
g,748.6623535
t,179.8510742
h,48.01806641
e,124.2075195
m,63.84228516
s,443.9812012
o,48.02270508
w,316.2773438
e,48.00561523
l,96.45043945
l,111.78125
.,268.2470703
g,625.7648926
l,215.3735352
a,171.5161133
d,156.9614258
t,201.9614258
o,75.25219727
s,101.0158691
e,103.0454102
e,157.204834
m,279.6906738
y,174.5029297
f,144.6833496
a,96.09545898
c,132.8452148
e,140.5698242
a,186.4992676
m,63.1015625
o,139.7268066
n,138.3308105
g,92.61791992
t,298.0090332
h,47.38232422
e,280.0627441
m,92.02685547
k,232.8129883
i,168.6333008
s,335.4707031
s,148.5378418
i,40.4440918
n,160.7988281
g,64.16894531
t,169.2172852
h,35.60595703
e,125.6176758
t,329.6381836
o,128.3762207
r,525.3220215
t,320.3361816
o,218.8493652
i,156.6015625
s,123.7312012
e,76.00415039
s,247.6223145
h,63.98803711
e,106.5214844
l,95.69995117
l,137.1748047
.,467.5742188
i,0
t,266.4172363
m,233.9819336
a,125.0246582
